ID;Timestamp;Date;Hour;hw_True;meanTout;ThermostatTemp;TSen_day;TSen_night;TSatisf_day;TSatisf_night;TPref_day;TPref_night;Gender;Age;NatVent_night;UsesCoolingAlternatives;Hour_7_14h_True;Hour_14_21h_True;Hour_21_7h_True;ShadingDevices_No;ShadingDevices_WhenDirectSun;ShadingDevices_AllAfternoon;ShadingDevices_AllMorning;ShadingDevices_AllDay;NatVent_day_ToutCool;NatVent_day_Anytime;NatVent_day_No;hasAC_No;hasAC_DormOrLiving;hasAC_DormAndLiving;hasAC_AllRooms;HouseholdSize;is_31001;is_31002;is_31003;is_31004;is_31005;is_31006;is_31007;is_31008;is_31009;is_31010;is_31011;is_31012;is_31013;is_31014;is_31015;is_31016;isNot_pamplona;before_1980;between_1980_2006;after_2007;dwelling_OldTown;dwelling_Block;dwelling_Tower;dwelling_Detached;dwelling_Other;Rehab_No;Rehab_Yes;Income_below1500;Income_between_1500_3500;Income_above_3500;Occ_NormallyAtHome;Occ_NotAlwaysAtHome;SrfcArea_below90;Storey_UpperFloor;Storey_NotApartment;numOrient_1;numOrient_above2;LivRoom_SrfcAreaWindow_below2;LivRoom_SrfcAreaWindow_above2;Bedroom_SrfcAreaWindow_below2;Bedroom_SrfcAreaWindow_above2;AC_Installed_Yes;WouldYouInstallAC_Yes;hasCoolRoom;hasCoolingAlternatives;HeatSymptoms;SleepingProblems
4;22/07/2021 12:16;20210722;12;False;27.5;25.73;2;0;0;2;-1;-1;True;39;True;False;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;True;False;True;False;False;True;True;False;False
18;22/07/2021 14:07;20210722;14;False;27.5;25.73;0;1;1;-1;-1;-1;True;29;True;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;True;False;False;True;True;False;False;False;True;False;True;False;True;False;True;False;True;False;True
434;17/08/2022 8:33;20220817;8;False;18.1;27.05;1;1;2;1;0;-1;False;55;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False
545;12/08/2022 17:26;20220812;17;True;29.2;27.38;3;3;-3;-3;-1;-1;True;44;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;True;True;False;False;False;True;True;False;False;False;True;False;True;False;True;False;False;True;True;True;True
538;22/07/2022 16:54;20220722;16;False;20.7;28;2;2;-1;0;-1;-1;False;43;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;False;False;True;True;False
415;13/08/2022 8:36;20220813;8;True;26.8;27;3;2;-2;-2;-1;-1;False;43;True;True;True;False;False;False;False;True;False;False;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;True;False;False;False;True;False;False;False;False;True;True;False;True;False;False;False;False;True;False;False
93;17/08/2021 21:56;20210817;21;False;16.8;25.73;0;-1;2;2;0;0;True;54;True;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;True;False;True;True;True;False;False;False;True;False;True;True;False;False;True;False;True;False;False
324;16/07/2022 21:08;20220716;21;True;29.1;29;2;2;-2;-2;-1;-1;True;40;True;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;2;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;True;False;True;True;True;True
496;13/08/2022 15:29;20220813;15;True;26.8;28;3;3;-3;-3;-1;-1;True;26;True;True;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;5;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;True;False;True;True;True
183;31/07/2021 0:25;20210731;0;False;15.8;27;1;0;3;3;0;0;False;44;True;False;False;False;True;False;True;False;False;False;True;False;False;True;False;False;False;6;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;False;True;True;False;False;True;True;True;False;False
